Comunidades y ciudades autónomas de residencia;Sexo;Edad;Total
Castilla-La Mancha;Ambos sexos;De 40 a 44 años;15
Castilla-La Mancha;Ambos sexos;De 45 a 49 años;11
Castilla-La Mancha;Ambos sexos;De 50 a 54 años;13
Castilla-La Mancha;Ambos sexos;De 55 a 59 años;13
Castilla-La Mancha;Ambos sexos;De 60 a 64 años;10
Castilla-La Mancha;Ambos sexos;De 65 a 69 años;7
Castilla-La Mancha;Ambos sexos;De 70 a 74 años;3
Castilla-La Mancha;Ambos sexos;De 75 a 79 años;10
Castilla-La Mancha;Ambos sexos;De 80 a 84 años;12
Castilla-La Mancha;Ambos sexos;De 85 a 89 años;7
Castilla-La Mancha;Ambos sexos;De 90 a 94 años;9
Castilla-La Mancha;Ambos sexos;De 95 años y más;1
Castilla-La Mancha;Hombres;Todas las edades;94
Castilla-La Mancha;Hombres;Menores de 15 años;0
Castilla-La Mancha;Hombres;De 15 a 29 años;7
Castilla-La Mancha;Hombres;De 30 a 39 años;10
Castilla-La Mancha;Hombres;De 40 a 44 años;8
Castilla-La Mancha;Hombres;De 45 a 49 años;8
Castilla-La Mancha;Hombres;De 50 a 54 años;11
Castilla-La Mancha;Hombres;De 55 a 59 años;10
Castilla-La Mancha;Hombres;De 60 a 64 años;7
Castilla-La Mancha;Hombres;De 65 a 69 años;7
Castilla-La Mancha;Hombres;De 70 a 74 años;0
Castilla-La Mancha;Hombres;De 75 a 79 años;8
Castilla-La Mancha;Hombres;De 80 a 84 años;7
Castilla-La Mancha;Hombres;De 85 a 89 años;5
Castilla-La Mancha;Hombres;De 90 a 94 años;6
Castilla-La Mancha;Hombres;De 95 años y más;0
Castilla-La Mancha;Mujeres;Todas las edades;38
Castilla-La Mancha;Mujeres;Menores de 15 años;0
Castilla-La Mancha;Mujeres;De 15 a 29 años;1
Castilla-La Mancha;Mujeres;De 30 a 39 años;3
Castilla-La Mancha;Mujeres;De 40 a 44 años;7
Castilla-La Mancha;Mujeres;De 45 a 49 años;3
Castilla-La Mancha;Mujeres;De 50 a 54 años;2
Castilla-La Mancha;Mujeres;De 55 a 59 años;3
Castilla-La Mancha;Mujeres;De 60 a 64 años;3
Castilla-La Mancha;Mujeres;De 65 a 69 años;0
Castilla-La Mancha;Mujeres;De 70 a 74 años;3
Castilla-La Mancha;Mujeres;De 75 a 79 años;2
Castilla-La Mancha;Mujeres;De 80 a 84 años;5
Castilla-La Mancha;Mujeres;De 85 a 89 años;2
Castilla-La Mancha;Mujeres;De 90 a 94 años;3
Castilla-La Mancha;Mujeres;De 95 años y más;1
Cataluña;Ambos sexos;Todas las edades;522
Cataluña;Ambos sexos;Menores de 15 años;1
Cataluña;Ambos sexos;De 15 a 29 años;37
Cataluña;Ambos sexos;De 30 a 39 años;64
Cataluña;Ambos sexos;De 40 a 44 años;49
Cataluña;Ambos sexos;De 45 a 49 años;60
Cataluña;Ambos sexos;De 50 a 54 años;50
Cataluña;Ambos sexos;De 55 a 59 años;60
Cataluña;Ambos sexos;De 60 a 64 años;44
Cataluña;Ambos sexos;De 65 a 69 años;36
Cataluña;Ambos sexos;De 70 a 74 años;34
Cataluña;Ambos sexos;De 75 a 79 años;24
Cataluña;Ambos sexos;De 80 a 84 años;29
Cataluña;Ambos sexos;De 85 a 89 años;23
Cataluña;Ambos sexos;De 90 a 94 años;8
Cataluña;Ambos sexos;De 95 años y más;3
Cataluña;Hombres;Todas las edades;381
Cataluña;Hombres;Menores de 15 años;1
Cataluña;Hombres;De 15 a 29 años;24
Cataluña;Hombres;De 30 a 39 años;49
Cataluña;Hombres;De 40 a 44 años;37
Cataluña;Hombres;De 45 a 49 años;45
Cataluña;Hombres;De 50 a 54 años;40
Cataluña;Hombres;De 55 a 59 años;39
Cataluña;Hombres;De 60 a 64 años;31
Cataluña;Hombres;De 65 a 69 años;22
Cataluña;Hombres;De 70 a 74 años;26
Cataluña;Hombres;De 75 a 79 años;21
Cataluña;Hombres;De 80 a 84 años;22
Cataluña;Hombres;De 85 a 89 años;16
Cataluña;Hombres;De 90 a 94 años;5
Cataluña;Hombres;De 95 años y más;3
Cataluña;Mujeres;Todas las edades;141
Cataluña;Mujeres;Menores de 15 años;0
Cataluña;Mujeres;De 15 a 29 años;13
Cataluña;Mujeres;De 30 a 39 años;15
Cataluña;Mujeres;De 40 a 44 años;12
Cataluña;Mujeres;De 45 a 49 años;15
Cataluña;Mujeres;De 50 a 54 años;10
Cataluña;Mujeres;De 55 a 59 años;21
Cataluña;Mujeres;De 60 a 64 años;13
Cataluña;Mujeres;De 65 a 69 años;14
Cataluña;Mujeres;De 70 a 74 años;8
Cataluña;Mujeres;De 75 a 79 años;3
Cataluña;Mujeres;De 80 a 84 años;7
Cataluña;Mujeres;De 85 a 89 años;7
Cataluña;Mujeres;De 90 a 94 años;3
Cataluña;Mujeres;De 95 años y más;0
Comunitat Valenciana;Ambos sexos;Todas las edades;396
Comunitat Valenciana;Ambos sexos;Menores de 15 años;0
Comunitat Valenciana;Ambos sexos;De 15 a 29 años;31
Comunitat Valenciana;Ambos sexos;De 30 a 39 años;53
Comunitat Valenciana;Ambos sexos;De 40 a 44 años;30
Comunitat Valenciana;Ambos sexos;De 45 a 49 años;41
Comunitat Valenciana;Ambos sexos;De 50 a 54 años;41
Comunitat Valenciana;Ambos sexos;De 55 a 59 años;44
Comunitat Valenciana;Ambos sexos;De 60 a 64 años;21
Comunitat Valenciana;Ambos sexos;De 65 a 69 años;33
Comunitat Valenciana;Ambos sexos;De 70 a 74 años;21
Comunitat Valenciana;Ambos sexos;De 75 a 79 años;23
Comunitat Valenciana;Ambos sexos;De 80 a 84 años;26
Comunitat Valenciana;Ambos sexos;De 85 a 89 años;20
Comunitat Valenciana;Ambos sexos;De 90 a 94 años;11
Comunitat Valenciana;Ambos sexos;De 95 años y más;1
Comunitat Valenciana;Hombres;Todas las edades;293
Comunitat Valenciana;Hombres;Menores de 15 años;0
Comunitat Valenciana;Hombres;De 15 a 29 años;22
Comunitat Valenciana;Hombres;De 30 a 39 años;41
Comunitat Valenciana;Hombres;De 40 a 44 años;27
Comunitat Valenciana;Hombres;De 45 a 49 años;29
Comunitat Valenciana;Hombres;De 50 a 54 años;28
Comunitat Valenciana;Hombres;De 55 a 59 años;34
Comunitat Valenciana;Hombres;De 60 a 64 años;14
Comunitat Valenciana;Hombres;De 65 a 69 años;19
Comunitat Valenciana;Hombres;De 70 a 74 años;13
Comunitat Valenciana;Hombres;De 75 a 79 años;19
Comunitat Valenciana;Hombres;De 80 a 84 años;22
Comunitat Valenciana;Hombres;De 85 a 89 años;16
Comunitat Valenciana;Hombres;De 90 a 94 años;9
Comunitat Valenciana;Hombres;De 95 años y más;0
Comunitat Valenciana;Mujeres;Todas las edades;103
Comunitat Valenciana;Mujeres;Menores de 15 años;0
Comunitat Valenciana;Mujeres;De 15 a 29 años;9
Comunitat Valenciana;Mujeres;De 30 a 39 años;12
Comunitat Valenciana;Mujeres;De 40 a 44 años;3
Comunitat Valenciana;Mujeres;De 45 a 49 años;12
Comunitat Valenciana;Mujeres;De 50 a 54 años;13
Comunitat Valenciana;Mujeres;De 55 a 59 años;10
Comunitat Valenciana;Mujeres;De 60 a 64 años;7
Comunitat Valenciana;Mujeres;De 65 a 69 años;14
Comunitat Valenciana;Mujeres;De 70 a 74 años;8
Comunitat Valenciana;Mujeres;De 75 a 79 años;4
Comunitat Valenciana;Mujeres;De 80 a 84 años;4
Comunitat Valenciana;Mujeres;De 85 a 89 años;4
Comunitat Valenciana;Mujeres;De 90 a 94 años;2
Comunitat Valenciana;Mujeres;De 95 años y más;1
Extremadura;Ambos sexos;Todas las edades;70
Extremadura;Ambos sexos;Menores de 15 años;0
Extremadura;Ambos sexos;De 15 a 29 años;5
Extremadura;Ambos sexos;De 30 a 39 años;7
Extremadura;Ambos sexos;De 40 a 44 años;5
Extremadura;Ambos sexos;De 45 a 49 años;8
Extremadura;Ambos sexos;De 50 a 54 años;7
Extremadura;Ambos sexos;De 55 a 59 años;8
Extremadura;Ambos sexos;De 60 a 64 años;4
Extremadura;Ambos sexos;De 65 a 69 años;5
Extremadura;Ambos sexos;De 70 a 74 años;7
Extremadura;Ambos sexos;De 75 a 79 años;3
Extremadura;Ambos sexos;De 80 a 84 años;7
Extremadura;Ambos sexos;De 85 a 89 años;3
Extremadura;Ambos sexos;De 90 a 94 años;1
Extremadura;Ambos sexos;De 95 años y más;0
Extremadura;Hombres;Todas las edades;58
Extremadura;Hombres;Menores de 15 años;0
Extremadura;Hombres;De 15 a 29 años;4
Extremadura;Hombres;De 30 a 39 años;4
Extremadura;Hombres;De 40 a 44 años;2
Extremadura;Hombres;De 45 a 49 años;7
Extremadura;Hombres;De 50 a 54 años;7
Extremadura;Hombres;De 55 a 59 años;8
Extremadura;Hombres;De 60 a 64 años;3
Extremadura;Hombres;De 65 a 69 años;4
Extremadura;Hombres;De 70 a 74 años;7
Extremadura;Hombres;De 75 a 79 años;3
Extremadura;Hombres;De 80 a 84 años;6
Extremadura;Hombres;De 85 a 89 años;2
Extremadura;Hombres;De 90 a 94 años;1
Extremadura;Hombres;De 95 años y más;0
Extremadura;Mujeres;Todas las edades;12
Extremadura;Mujeres;Menores de 15 años;0
Extremadura;Mujeres;De 15 a 29 años;1
Extremadura;Mujeres;De 30 a 39 años;3
Extremadura;Mujeres;De 40 a 44 años;3
Extremadura;Mujeres;De 45 a 49 años;1
Extremadura;Mujeres;De 50 a 54 años;0
Extremadura;Mujeres;De 55 a 59 años;0
Extremadura;Mujeres;De 60 a 64 años;1
Extremadura;Mujeres;De 65 a 69 años;1
Extremadura;Mujeres;De 70 a 74 años;0
Extremadura;Mujeres;De 75 a 79 años;0
Extremadura;Mujeres;De 80 a 84 años;1
Extremadura;Mujeres;De 85 a 89 años;1
Extremadura;Mujeres;De 90 a 94 años;0
Extremadura;Mujeres;De 95 años y más;0
Galicia;Ambos sexos;Todas las edades;274
Galicia;Ambos sexos;Menores de 15 años;0
Galicia;Ambos sexos;De 15 a 29 años;10
Galicia;Ambos sexos;De 30 a 39 años;20
Galicia;Ambos sexos;De 40 a 44 años;23
Galicia;Ambos sexos;De 45 a 49 años;26
Galicia;Ambos sexos;De 50 a 54 años;22
Galicia;Ambos sexos;De 55 a 59 años;31
Galicia;Ambos sexos;De 60 a 64 años;28
Galicia;Ambos sexos;De 65 a 69 años;21
Galicia;Ambos sexos;De 70 a 74 años;27
Galicia;Ambos sexos;De 75 a 79 años;17
Galicia;Ambos sexos;De 80 a 84 años;28
Galicia;Ambos sexos;De 85 a 89 años;17
Galicia;Ambos sexos;De 90 a 94 años;4
Galicia;Ambos sexos;De 95 años y más;0
Galicia;Hombres;Todas las edades;192
Galicia;Hombres;Menores de 15 años;0
Galicia;Hombres;De 15 a 29 años;9
Galicia;Hombres;De 30 a 39 años;15
Galicia;Hombres;De 40 a 44 años;16
