Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;Castilla y León;Ambos sexos;De 15 a 29 años;9
Total Nacional;Castilla y León;Ambos sexos;De 30 a 39 años;25
Total Nacional;Castilla y León;Ambos sexos;De 40 a 44 años;18
Total Nacional;Castilla y León;Ambos sexos;De 45 a 49 años;25
Total Nacional;Castilla y León;Ambos sexos;De 50 a 54 años;26
Total Nacional;Castilla y León;Ambos sexos;De 55 a 59 años;21
Total Nacional;Castilla y León;Ambos sexos;De 60 a 64 años;28
Total Nacional;Castilla y León;Ambos sexos;De 65 a 69 años;18
Total Nacional;Castilla y León;Ambos sexos;De 70 a 74 años;19
Total Nacional;Castilla y León;Ambos sexos;De 75 a 79 años;12
Total Nacional;Castilla y León;Ambos sexos;De 80 a 84 años;21
Total Nacional;Castilla y León;Ambos sexos;De 85 a 89 años;8
Total Nacional;Castilla y León;Ambos sexos;De 90 a 94 años;2
Total Nacional;Castilla y León;Ambos sexos;De 95 años y más;3
Total Nacional;Castilla y León;Hombres;Todas las edades;168
Total Nacional;Castilla y León;Hombres;Menores de 15 años;0
Total Nacional;Castilla y León;Hombres;De 15 a 29 años;8
Total Nacional;Castilla y León;Hombres;De 30 a 39 años;15
Total Nacional;Castilla y León;Hombres;De 40 a 44 años;13
Total Nacional;Castilla y León;Hombres;De 45 a 49 años;16
Total Nacional;Castilla y León;Hombres;De 50 a 54 años;17
Total Nacional;Castilla y León;Hombres;De 55 a 59 años;16
Total Nacional;Castilla y León;Hombres;De 60 a 64 años;22
Total Nacional;Castilla y León;Hombres;De 65 a 69 años;12
Total Nacional;Castilla y León;Hombres;De 70 a 74 años;14
Total Nacional;Castilla y León;Hombres;De 75 a 79 años;10
Total Nacional;Castilla y León;Hombres;De 80 a 84 años;14
Total Nacional;Castilla y León;Hombres;De 85 a 89 años;6
Total Nacional;Castilla y León;Hombres;De 90 a 94 años;2
Total Nacional;Castilla y León;Hombres;De 95 años y más;3
Total Nacional;Castilla y León;Mujeres;Todas las edades;68
Total Nacional;Castilla y León;Mujeres;Menores de 15 años;1
Total Nacional;Castilla y León;Mujeres;De 15 a 29 años;1
Total Nacional;Castilla y León;Mujeres;De 30 a 39 años;10
Total Nacional;Castilla y León;Mujeres;De 40 a 44 años;5
Total Nacional;Castilla y León;Mujeres;De 45 a 49 años;9
Total Nacional;Castilla y León;Mujeres;De 50 a 54 años;9
Total Nacional;Castilla y León;Mujeres;De 55 a 59 años;5
Total Nacional;Castilla y León;Mujeres;De 60 a 64 años;6
Total Nacional;Castilla y León;Mujeres;De 65 a 69 años;6
Total Nacional;Castilla y León;Mujeres;De 70 a 74 años;5
Total Nacional;Castilla y León;Mujeres;De 75 a 79 años;2
Total Nacional;Castilla y León;Mujeres;De 80 a 84 años;7
Total Nacional;Castilla y León;Mujeres;De 85 a 89 años;2
Total Nacional;Castilla y León;Mujeres;De 90 a 94 años;0
Total Nacional;Castilla y León;Mujeres;De 95 años y más;0
Total Nacional;Castilla - La Mancha;Ambos sexos;Todas las edades;169
